column,nonzero_cohort_fused,matrix_rows_cohort_fused,nonzero_after_align,matrix_rows_after_align,nonzero_after_family_support,matrix_rows_after_family_support,nonzero_after_low_information_prune,matrix_rows_after_low_information_prune,nonzero_after_leakage_prune,matrix_rows_after_leakage_prune,dropped_by_low_information_prune,dropped_by_leakage_prune
perm__android_permission_access_adservices_ad_id,7,1226,7,1226,7,1001,7.0,1001,7.0,1001,False,False
perm__android_permission_access_adservices_attribution,15,1226,15,1226,15,1001,15.0,1001,15.0,1001,False,False
perm__android_permission_access_adservices_topics,7,1226,7,1226,7,1001,7.0,1001,7.0,1001,False,False
perm__android_permission_access_all_external_storage,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_access_background_location,50,1226,50,1226,27,1001,27.0,1001,27.0,1001,False,False
perm__android_permission_access_coarse_location,162,1226,162,1226,119,1001,119.0,1001,119.0,1001,False,False
perm__android_permission_access_content_providers_externally,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__android_permission_access_fine_location,103,1226,103,1226,58,1001,58.0,1001,58.0,1001,False,False
perm__android_permission_access_location_extra_commands,11,1226,11,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_access_media_location,21,1226,21,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__android_permission_access_mtp,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_access_network_state,499,1226,499,1226,398,1001,398.0,1001,398.0,1001,False,False
perm__android_permission_access_notification_policy,84,1226,84,1226,63,1001,63.0,1001,63.0,1001,False,False
perm__android_permission_access_wifi_state,347,1226,347,1226,285,1001,285.0,1001,285.0,1001,False,False
perm__android_permission_action_manage_overlay_permission,22,1226,22,1226,0,1001,,1001,,1001,True,False
perm__android_permission_activity_recognition,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__android_permission_answer_phone_calls,2,1226,2,1226,0,1001,,1001,,1001,True,False
perm__android_permission_authenticate_accounts,99,1226,99,1226,90,1001,90.0,1001,90.0,1001,False,False
perm__android_permission_battery_stats,32,1226,32,1226,32,1001,32.0,1001,32.0,1001,False,False
perm__android_permission_bind_accessibility_service,28,1226,28,1226,24,1001,24.0,1001,24.0,1001,False,False
perm__android_permission_bind_appwidget,2,1226,2,1226,1,1001,1.0,1001,1.0,1001,False,False
perm__android_permission_bind_carrier_messaging_client_service,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__android_permission_bind_job_service,10,1226,10,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_bind_notification_listener_service,6,1226,6,1226,6,1001,6.0,1001,6.0,1001,False,False
perm__android_permission_bluetooth,61,1226,61,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_bluetooth_admin,30,1226,30,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_bluetooth_advertise,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_bluetooth_connect,10,1226,10,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_bluetooth_privileged,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__android_permission_boot_completed,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__android_permission_broadcast_package_added,6,1226,6,1226,1,1001,1.0,1001,1.0,1001,False,False
perm__android_permission_broadcast_package_changed,5,1226,5,1226,1,1001,1.0,1001,1.0,1001,False,False
perm__android_permission_broadcast_package_install,5,1226,5,1226,1,1001,1.0,1001,1.0,1001,False,False
perm__android_permission_broadcast_package_replaced,5,1226,5,1226,1,1001,1.0,1001,1.0,1001,False,False
perm__android_permission_broadcast_sms,10,1226,10,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_broadcast_sticky,24,1226,24,1226,21,1001,21.0,1001,21.0,1001,False,False
perm__android_permission_call_companion_app,10,1226,10,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_call_phone,233,1226,233,1226,168,1001,168.0,1001,168.0,1001,False,False
perm__android_permission_call_privileged,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_camera,170,1226,170,1226,123,1001,123.0,1001,123.0,1001,False,False
perm__android_permission_capture_audio_output,9,1226,9,1226,0,1001,,1001,,1001,True,False
