sample_id,in_governed_cohort,in_vendor_merge,in_permission_enrichment_frame,in_fused_feature_matrix,in_aligned_supervised_pool,dropped_by_family_support_filter,in_post_family_support_trainable_pool,row_retained_after_low_information_column_prune,row_retained_after_leakage_column_prune
25,True,False,True,True,True,False,True,True,True
187,True,False,True,True,True,True,False,False,False
189,True,False,True,True,True,True,False,False,False
190,True,False,True,True,True,True,False,False,False
193,True,False,True,True,True,False,True,True,True
199,True,False,True,True,True,False,True,True,True
204,True,False,True,True,True,False,True,True,True
206,True,False,True,True,True,True,False,False,False
207,True,False,True,True,True,False,True,True,True
213,True,False,True,True,True,True,False,False,False
219,True,False,True,True,True,True,False,False,False
221,True,False,True,True,True,True,False,False,False
224,True,False,True,True,True,True,False,False,False
230,True,False,True,True,True,False,True,True,True
231,True,False,True,True,True,True,False,False,False
234,True,False,True,True,True,True,False,False,False
236,True,False,True,True,True,True,False,False,False
245,True,False,True,True,True,True,False,False,False
247,True,False,True,True,True,True,False,False,False
254,True,False,True,True,True,False,True,True,True
256,True,False,True,True,True,False,True,True,True
260,True,False,True,True,True,False,True,True,True
263,True,False,True,True,True,True,False,False,False
268,True,False,True,True,True,True,False,False,False
279,True,False,True,True,True,True,False,False,False
281,True,False,True,True,True,False,True,True,True
284,True,False,True,True,True,True,False,False,False
287,True,False,True,True,True,True,False,False,False
289,True,False,True,True,True,True,False,False,False
290,True,False,True,True,True,True,False,False,False
291,True,False,True,True,True,True,False,False,False
292,True,False,True,True,True,False,True,True,True
304,True,False,True,True,True,False,True,True,True
305,True,False,True,True,True,True,False,False,False
310,True,False,True,True,True,True,False,False,False
321,True,False,True,True,True,True,False,False,False
325,True,False,True,True,True,True,False,False,False
326,True,False,True,True,True,True,False,False,False
328,True,False,True,True,True,True,False,False,False
329,True,False,True,True,True,True,False,False,False
330,True,False,True,True,True,False,True,True,True
336,True,False,True,True,True,True,False,False,False
343,True,False,True,True,True,True,False,False,False
347,True,False,True,True,True,False,True,True,True
348,True,False,True,True,True,True,False,False,False
349,True,False,True,True,True,True,False,False,False
350,True,False,True,True,True,True,False,False,False
353,True,False,True,True,True,True,False,False,False
362,True,False,True,True,True,True,False,False,False
368,True,False,True,True,True,False,True,True,True
375,True,False,True,True,True,True,False,False,False
388,True,False,True,True,True,True,False,False,False
402,True,False,True,True,True,True,False,False,False
403,True,False,True,True,True,True,False,False,False
405,True,False,True,True,True,True,False,False,False
406,True,False,True,True,True,False,True,True,True
407,True,False,True,True,True,False,True,True,True
410,True,False,True,True,True,False,True,True,True
413,True,False,True,True,True,True,False,False,False
415,True,False,True,True,True,False,True,True,True
424,True,False,True,True,True,False,True,True,True
425,True,False,True,True,True,True,False,False,False
428,True,False,True,True,True,False,True,True,True
430,True,False,True,True,True,False,True,True,True
431,True,False,True,True,True,True,False,False,False
434,True,False,True,True,True,False,True,True,True
435,True,False,True,True,True,True,False,False,False
436,True,False,True,True,True,True,False,False,False
437,True,False,True,True,True,False,True,True,True
439,True,False,True,True,True,False,True,True,True
441,True,False,True,True,True,False,True,True,True
443,True,False,True,True,True,True,False,False,False
444,True,False,True,True,True,False,True,True,True
445,True,False,True,True,True,False,True,True,True
448,True,False,True,True,True,False,True,True,True
457,True,False,True,True,True,False,True,True,True
461,True,False,True,True,True,True,False,False,False
462,True,False,True,True,True,False,True,True,True
465,True,False,True,True,True,False,True,True,True
466,True,False,True,True,True,False,True,True,True
471,True,False,True,True,True,False,True,True,True
472,True,False,True,True,True,False,True,True,True
476,True,False,True,True,True,True,False,False,False
478,True,False,True,True,True,False,True,True,True
479,True,False,True,True,True,False,True,True,True
480,True,False,True,True,True,False,True,True,True
482,True,False,True,True,True,False,True,True,True
484,True,False,True,True,True,False,True,True,True
488,True,False,True,True,True,False,True,True,True
490,True,False,True,True,True,True,False,False,False
495,True,True,True,True,True,False,True,True,True
498,True,False,True,True,True,True,False,False,False
499,True,False,True,True,True,False,True,True,True
502,True,False,True,True,True,False,True,True,True
505,True,False,True,True,True,False,True,True,True
522,True,False,True,True,True,False,True,True,True
523,True,False,True,True,True,False,True,True,True
525,True,False,True,True,True,False,True,True,True
527,True,False,True,True,True,True,False,False,False
528,True,False,True,True,True,False,True,True,True
534,True,False,True,True,True,True,False,False,False
536,True,False,True,True,True,True,False,False,False
537,True,False,True,True,True,False,True,True,True
538,True,False,True,True,True,False,True,True,True
540,True,False,True,True,True,False,True,True,True
541,True,False,True,True,True,False,True,True,True
542,True,False,True,True,True,False,True,True,True
543,True,False,True,True,True,False,True,True,True
551,True,False,True,True,True,True,False,False,False
554,True,False,True,True,True,False,True,True,True
562,True,False,True,True,True,True,False,False,False
569,True,False,True,True,True,False,True,True,True
571,True,False,True,True,True,False,True,True,True
572,True,False,True,True,True,False,True,True,True
575,True,False,True,True,True,True,False,False,False
576,True,False,True,True,True,False,True,True,True
578,True,False,True,True,True,True,False,False,False
579,True,True,True,True,True,False,True,True,True
582,True,False,True,True,True,False,True,True,True
584,True,False,True,True,True,False,True,True,True
590,True,False,True,True,True,False,True,True,True
593,True,False,True,True,True,False,True,True,True
595,True,False,True,True,True,False,True,True,True
597,True,False,True,True,True,False,True,True,True
602,True,False,True,True,True,False,True,True,True
605,True,False,True,True,True,False,True,True,True
606,True,False,True,True,True,True,False,False,False
607,True,False,True,True,True,False,True,True,True
608,True,False,True,True,True,False,True,True,True
610,True,False,True,True,True,False,True,True,True
611,True,False,True,True,True,False,True,True,True
614,True,False,True,True,True,False,True,True,True
615,True,False,True,True,True,False,True,True,True
618,True,False,True,True,True,False,True,True,True
619,True,False,True,True,True,False,True,True,True
620,True,False,True,True,True,False,True,True,True
621,True,False,True,True,True,False,True,True,True
622,True,False,True,True,True,False,True,True,True
624,True,False,True,True,True,False,True,True,True
625,True,False,True,True,True,False,True,True,True
629,True,False,True,True,True,False,True,True,True
635,True,False,True,True,True,False,True,True,True
637,True,False,True,True,True,False,True,True,True
642,True,False,True,True,True,False,True,True,True
646,True,False,True,True,True,False,True,True,True
648,True,False,True,True,True,False,True,True,True
653,True,False,True,True,True,True,False,False,False
654,True,False,True,True,True,False,True,True,True
657,True,True,True,True,True,False,True,True,True
659,True,False,True,True,True,False,True,True,True
660,True,False,True,True,True,False,True,True,True
661,True,False,True,True,True,False,True,True,True
665,True,False,True,True,True,False,True,True,True
672,True,False,True,True,True,False,True,True,True
673,True,False,True,True,True,False,True,True,True
676,True,False,True,True,True,False,True,True,True
677,True,False,True,True,True,False,True,True,True
678,True,False,True,True,True,False,True,True,True
679,True,False,True,True,True,False,True,True,True
682,True,False,True,True,True,False,True,True,True
683,True,False,True,True,True,False,True,True,True
684,True,False,True,True,True,False,True,True,True
687,True,False,True,True,True,False,True,True,True
688,True,False,True,True,True,True,False,False,False
689,True,False,True,True,True,False,True,True,True
