module,function,write_pattern,target_expr,line,artifact_family_guess,hygiene_call_site,in_output_hygiene_module,in_export_manager_module,in_artifact_registry_module,module_imports_output_hygiene,module_imports_export_manager,module_imports_artifact_registry,contains_latest,likely_role,recommended_action
src/obsidiandroid/diagnostics/contract_and_taxonomy_reports.py,write_taxonomy_type_authority_reports,pathlib_write_text,diagnostics_dir / 'taxonomy_type_authority_review.latest.csv',260,labeling_taxonomy,N,N,N,N,N,N,N,Y,operator_mirror_candidate,confirm_global_latest_only_or_mirror_helper
src/obsidiandroid/diagnostics/contract_and_taxonomy_reports.py,write_taxonomy_type_authority_reports,pathlib_write_text,diagnostics_dir / 'taxonomy_type_authority_review.latest.md',263,labeling_taxonomy,N,N,N,N,N,N,N,Y,operator_mirror_candidate,confirm_global_latest_only_or_mirror_helper
src/obsidiandroid/diagnostics/research_validity/signal_export.py,write_signal_decomposition_artifacts,pathlib_write_text,diagnostics_dir / 'vendor_leakage_delta.csv',31,vendor_parser,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/diagnostics/research_validity/signal_export.py,write_signal_decomposition_artifacts,pathlib_write_text,diagnostics_dir / 'feature_set_model_comparison.csv',34,feature_diagnostics,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/modeling/model_trainer_factory.py,_export_split_audit,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=out_dir, run_filename=headline_path_name, csv_text=audit_csv, global_latest_name='split_freeze_headline.latest.csv')",394,split_ledger,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate,keep_internal_hygiene
src/obsidiandroid/modeling/model_trainer_factory.py,_export_split_audit,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=out_dir, run_filename=legacy_audit_name, csv_text=audit_csv, global_latest_name='split_freeze_audit.latest.csv')",401,split_ledger,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate,keep_internal_hygiene
src/obsidiandroid/orchestration/runtime_reporting.py,export_aligned_training_cache,output_hygiene_public_api,"oh.write_global_latest_pointer(filename='aligned_features.latest.pointer.json', payload={'run_id': rid, 'canonical_relative_path': str(feature_path.resolve()), 'canonical_label_relative_path': str(label_path.resolve())})",114,feature_diagnostics,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate_in_run_tree,keep_internal_hygiene
src/obsidiandroid/orchestration/runtime_reporting.py,enforce_duplicate_sha_policy,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=diagnostics_dir, run_filename=f'duplicate_sha256_report_{run_id}.csv', csv_text=csv_text, global_latest_name='duplicate_sha256_report.latest.csv')",185,other,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate_in_run_tree,keep_internal_hygiene
src/obsidiandroid/orchestration/runtime_reporting.py,export_and_print_run_summary,output_hygiene_public_api,"oh.write_global_latest_text(filename='run_health_summary.latest.json', text=encoded)",629,other,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate,keep_internal_hygiene
src/obsidiandroid/pipeline/manifest/stage_manifest_artifacts.py,write_promoted_latest_run_pointer,pathlib_write_text,promoted_root / 'latest_run.txt',82,other,N,N,N,N,N,N,N,N,unknown_or_mixed,review_path_policy
src/obsidiandroid/pipeline/manifest/stage_manifest_artifacts.py,write_promoted_latest_run_pointer,pathlib_write_text,promoted_root / 'latest_run_manifest.json',83,run_manifest,N,N,N,N,N,N,N,N,unknown_or_mixed,review_path_policy
src/obsidiandroid/pipeline/manifest/stage_manifest_writers.py,write_run_summary_json,pathlib_write_text,run_summary_path,129,run_manifest,N,N,N,N,Y,N,N,N,unknown_or_mixed,review_path_policy
src/obsidiandroid/pipeline/manifest/stage_manifest_writers.py,write_run_summary_json,pathlib_write_text,run_summary_run_path,130,run_manifest,N,N,N,N,Y,N,N,N,unknown_or_mixed,review_path_policy
src/obsidiandroid/pipeline/manifest/stage_manifest_writers.py,write_run_summary_json,output_hygiene_public_api,"oh.write_global_latest_text(filename='run_summary.latest.json', text=encoded)",132,run_manifest,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate,keep_internal_hygiene
src/obsidiandroid/pipeline/manifest/stage_manifest_writers.py,write_run_summary_json,pathlib_write_text,run_summary_latest_path,135,run_manifest,N,N,N,N,Y,N,N,N,unknown_or_mixed,review_path_policy
src/obsidiandroid/pipeline/runner_stage_control.py,PipelineRunStageControl.attach_runtime_timing_context,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=Path(diag), run_filename=f'pipeline_stage_timings_{self.run_id}.csv', csv_text=timings_csv, global_latest_name='pipeline_stage_timings.latest.csv')",167,other,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate_in_run_tree,keep_internal_hygiene
src/obsidiandroid/pipeline/sample_exports.py,export_cohort_filter_contract,output_hygiene_public_api,"oh.write_global_latest_text(filename='cohort_filter_contract.latest.json', text=payload)",67,cohort_samples,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate,keep_internal_hygiene
src/obsidiandroid/pipeline/sample_exports.py,export_cohort_filter_contract,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=out_dir, run_filename=f'cohort_gate_counts_{run_id}.csv', csv_text=gate_csv_text, global_latest_name='cohort_gate_counts.latest.csv')",74,cohort_samples,Y,N,N,N,Y,N,N,Y,operator_mirror_candidate_in_run_tree,keep_internal_hygiene
src/obsidiandroid/pipeline/stage_ablation.py,run_ablation_experiments,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=out_dir, run_filename=summary_run_basename, csv_text=sum_csv, global_latest_name=global_latest_name)",783,other,Y,N,N,N,Y,N,N,N,diagnostics_or_global_operator,keep_internal_hygiene
src/obsidiandroid/pipeline/stage_ablation.py,run_ablation_experiments,output_hygiene_public_api,"oh.mirror_csv_text_run_then_global(diagnostics_dir=out_dir, run_filename=pf_basename, csv_text=pf_csv, global_latest_name=pf_latest)",807,other,Y,N,N,N,Y,N,N,N,diagnostics_or_global_operator,keep_internal_hygiene
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_headline_score_scope,pathlib_write_text,diagnostics_dir / 'headline_score_scope.json',84,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_headline_score_scope,pathlib_write_text,diagnostics_dir / 'headline_score_scope.md',112,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_high_score_audit,pathlib_write_text,diagnostics_dir / 'high_score_audit.json',186,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_high_score_audit,pathlib_write_text,diagnostics_dir / 'high_score_audit.md',216,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pandas_to_csv,diagnostics_dir / 'false_positive_by_predicted_family.csv',357,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pandas_to_csv,diagnostics_dir / 'false_negative_by_true_family.csv',358,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pandas_to_csv,diagnostics_dir / 'top_confusion_pairs.csv',359,confusion_matrix,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pandas_to_csv,diagnostics_dir / 'high_confidence_wrong_predictions.csv',361,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pandas_to_csv,diagnostics_dir / 'high_confidence_wrong_predictions.csv',363,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pathlib_write_text,diagnostics_dir / 'false_attribution_audit.json',374,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,write_false_attribution_audit,pathlib_write_text,diagnostics_dir / 'false_attribution_audit.md',388,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,_write_false_attribution_empty,pathlib_write_text,diagnostics_dir / 'false_attribution_audit.json',393,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,_write_false_attribution_empty,pathlib_write_text,diagnostics_dir / 'false_attribution_audit.md',396,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
src/obsidiandroid/reporting/high_score_skeptic_audits.py,_write_false_attribution_empty,pandas_to_csv,diagnostics_dir / name,405,other,N,N,N,N,N,N,N,N,diagnostics_or_global_operator,review_path_policy
