sample_id,sha256_x,family_id_x,family_canonical,type_slug,source_batch_label,android_package_name_x,effective_first_seen_at_utc_x,current_gate_reason,sha256_y,family_id_y,family_canonical_current,type_slug_current,source_batch_label_current,android_package_name_y,effective_first_seen_at_utc_y,in_locked_membership,in_current_governed,in_full_catalog
193,509c80badaf0efb77b360c7ae7129213d79d11614e81242231a6b47017bf026c,107.0,Piom,banker,,com.scn.ner.pdfdoc.bright.ing,2020-12-26 15:41:35+00:00,below_min_samples_per_family,,,,,,,,True,False,True
204,19e4f566c9193ab381828b390be24b63fc7c5ba32a4799bee2dc2890204f5833,47.0,RoamingMantis,banker,,com.indiano1.post101,2020-06-25 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
206,889392ed44a613bb3618f6b9a05a663f801c9cd7086ff8d3d7531c3bc57d97be,1.0,Anubis,banker,,wocwvy.czyxoxmbauu.slsa,2020-03-16 21:26:54+00:00,below_min_samples_per_family,,,,,,,,True,False,True
224,51f9c37c3eec0b6f8325aa1c8fe64a0615ab920584042df557426473b1270b40,2.0,BlackRock,banker,,ayxzygxgagiqhdnjnfduerzbeh.hme.egybgkeziplb,2020-06-27 11:25:16+00:00,below_min_samples_per_family,,,,,,,,True,False,True
256,1915ea279e8e5f518e766c9e3363d651891cc4e63951c1dbca0d6e600673d972,47.0,RoamingMantis,banker,,com.superroyalindia.depost6,2020-07-01 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
279,1a8c17ad1a790554278b055bdb946d4597ba9af6be3611ee6311b90c7f7848c5,8.0,EventBot,banker,,com.example.eventbot,2020-03-14 17:52:17+00:00,below_min_samples_per_family,,,,,,,,True,False,True
281,359e1c533e8008969031255977493f6d07026879b7a39f3cfd4e8a3615db529f,47.0,RoamingMantis,banker,,com.royalindia.post1,2020-06-21 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
284,7b1ac3a8caa556c9208d4db62395cca2f8a53420e5d51a1537bc45622e41b63f,8.0,EventBot,banker,,com.example.eventbot,2020-03-19 11:30:58+00:00,below_min_samples_per_family,,,,,,,,True,False,True
287,9036c11e760bbb9ba57b54c7bef97e24dd838f0ca9478f50e83d82a808881251,39.0,GINP,banker,,egrkydkaidgcpisfbqx.goo.rcbghaeacxkpeqi,2020-04-01 18:12:49+00:00,below_min_samples_per_family,,,,,,,,True,False,True
290,3b61e0bf8eef614c6a6b8d9bf09b78e4c3db5bfabcdd8888d1042b5fd28959fe,8.0,EventBot,banker,,com.example.eventbot,2021-01-12 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
305,6c0c788eddaf228df9c7f95ced4ea95dcb384b8dabcdd579dedba56915107779,8.0,EventBot,banker,,com.example.eventbot,2020-03-19 04:40:59+00:00,below_min_samples_per_family,,,,,,,,True,False,True
310,fdb64ef888a0f1fe8c305453803b3ee7029dc0d4f42c70af34b6d4aaee4359b4,1.0,Anubis,banker,,net.eighttennight.tek.views20201115,2020-11-16 10:24:14+00:00,below_min_samples_per_family,,,,,,,,True,False,True
325,6fa4baef8a811f429cee4b383d7a4776b7b363b62551c8d8e0f93bad33adefbd,2.0,BlackRock,banker,,cmbmpqod.bfrtuduawoyhr.mlmrncmjbdecuc,2020-06-29 11:35:13+00:00,below_min_samples_per_family,,,,,,,,True,False,True
326,b8d245b62fdb7370aaef0133b62c25c3eb60d2d0f15d8170b2255c26d489a589,1.0,Anubis,banker,,wteu.cjvow.ldkanccrhcxhrj,2020-05-13 22:20:10+00:00,below_min_samples_per_family,,,,,,,,True,False,True
328,dfb54d6c468271c73865d45e54b9dd942a18e716d608cf9233f1122cf79bab8c,1.0,Anubis,banker,,com.turenak.ch,2020-03-22 11:40:03+00:00,below_min_samples_per_family,,,,,,,,True,False,True
329,7711f2515fa68fcb75459a90b9d0102569435cdfbaacb35b23828ab17d6a0987,1.0,Anubis,banker,,com.rsksbgdkgcae.fvogspmykjv,2020-04-09 10:50:39+00:00,below_min_samples_per_family,,,,,,,,True,False,True
336,c38c675a4342052a18e969e839cce797fef842b9d53032882966a3731ced0a70,1.0,Anubis,banker,,wocwvy.czyxoxmbauu.slsa,2021-12-15 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
343,fcc8e879421efa4a87c18771ad6a5e20960dbdf80222f34024d110922a9ae63a,1.0,Anubis,banker,,fyanuggduafxahhs.pcwqxwlmjrcxlufxieog.kaglywewk,2020-02-10 17:37:21+00:00,below_min_samples_per_family,,,,,,,,True,False,True
349,9687682ceb5bcb544331eabd61ec3b65accbc691609691f826518d40d2d5304b,1.0,Anubis,banker,,wocwvy.czyxoxmbauu.slsa,2020-02-14 01:32:43+00:00,below_min_samples_per_family,,,,,,,,True,False,True
350,7d34aaf84754fb247507681bcd821f9533f24c6d78aa6779a11f4d789d4822ee,2.0,BlackRock,banker,,fpjwhqsl.dzpycoeasyhs.cwnporwocambskrxcxiug,2020-06-27 11:40:05+00:00,below_min_samples_per_family,,,,,,,,True,False,True
362,d1fa9401808354978fc1aa91165b88c265b549915211e2f0294e7f38db9af8dc,1.0,Anubis,banker,,drdwdqauhhpmcupllolq.nldyxmytssfdufjcdampgkg.njlwxhyhpncfwfnucofygaeaosa,2020-03-10 07:22:39+00:00,below_min_samples_per_family,,,,,,,,True,False,True
402,57f8a57320eeed2f5b5a316d67319191ce717cc51384318966b61f95722e275f,5.0,SharkBot,banker,,com.pycdvgljmfgh3hgp8jo72giu.omflsx1q2g,2021-12-16 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
403,8a6889610a18296e812fabd0a4ceb8b75caadc5cec1b39e8173c3e0093fd3a57,18.0,SOVA,banker,,com.adobe.flashplayer,2021-09-10 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
405,efb92fb17348eb10ba3a93ab004422c30bcf8ae72f302872e9ef3263c47133a7,18.0,SOVA,banker,,com.sigki.ckmelxlbecx,2021-09-10 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
413,02e30e57604445d22a6ba0e9386335c6d37a936164a319d993649521cf223c24,6.0,TeaBot,banker,,safe.enable.tooth,2021-09-17 18:22:13+00:00,below_min_samples_per_family,,,,,,,,True,False,True
424,29fcd54d592a67621c558a115705ad81dafbd7b022631f25c3baae954db4464b,129.0,Wroba,banker,,com.gmr.keep,2021-03-11 08:11:38+00:00,below_min_samples_per_family,,,,,,,,True,False,True
436,4067054f202cc8e87557915783d4468b54985c5cc7b0b57df98ffbb106475196,6.0,TeaBot,banker,,trust.royal.vibrant,2021-06-03 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
