provider_output,required_field,table_or_view,source_column_or_rule,join_key,filter_or_snapshot_rule,ordering_rule,null_behavior,temporal_limitation,verification_status
cohort_rows,sample_id,v_android_sample_family_type_authority,sample_id,sample_id,platform=android is embedded in view,no verified unique row selection,duplicate view rows exist,MUTABLE_LATEST_STATE,AMBIGUOUS
cohort_rows,sha256,v_android_sample_family_type_authority,sha256,sample_id,authority-view row,no verified unique row selection,duplicate view rows exist,MUTABLE_LATEST_STATE,AMBIGUOUS
cohort_rows,family_id,v_android_sample_family_type_authority,family_id,sample_id,authority-view row; active family join embedded,no verified unique row selection,NULL means unresolved authority,MUTABLE_LATEST_STATE,AMBIGUOUS
cohort_rows,family_canonical,v_android_sample_family_type_authority,family_name or family_slug,sample_id,authority-view row; normalize/validate against taxonomy,no verified unique row selection,NULL means unresolved authority,MUTABLE_LATEST_STATE,AMBIGUOUS
android_metadata,package_name,malware_sample_catalog,android_package_name,sample_id,canonical catalog row,PRIMARY(sample_id),NULL allowed,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
android_metadata,target_min_version,malware_sample_catalog,android_min_sdk,sample_id,canonical catalog row,PRIMARY(sample_id),NULL allowed then shared SDK imputation,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
android_metadata,target_sdk_version,malware_sample_catalog,android_target_sdk,sample_id,canonical catalog row,PRIMARY(sample_id),NULL allowed then shared SDK imputation,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
permission_rows,sample_id,android_permission_obs_sample,sample_id,sample_id,current observation row,UNIQUE(sample_id;permission_string),not null,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
permission_rows,permission_string,android_permission_obs_sample,permission_string,sample_id,current observation row,UNIQUE(sample_id;permission_string),not null,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
permission_rows,permission_string_norm,android_permission_obs_sample,permission_string_norm,sample_id,current observation row,UNIQUE(sample_id;permission_string),nullable; fall back per row to raw token,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
permission_rows,authority_and_protection,permission dictionaries,classification plus AOSP/OEM dictionary joins,normalized token,current dictionary state,not versioned,NULL protection must follow frozen policy,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
vt_rows,sample_id,virustotal_sample_vendor_engine_verdicts,sample_id,sample_id,current wide row,PRIMARY(sample_id),not null,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
vt_rows,engine_name,virustotal_sample_vendor_engine_verdicts,102 wide result columns; requires deterministic unpivot,sample_id,current wide row,no report-level ordering,engine cells nullable,MUTABLE_LATEST_STATE,AMBIGUOUS
vt_rows,result,virustotal_sample_vendor_engine_verdicts,wide engine text columns,sample_id,current wide row,no report-level ordering,NULL is non-observation under contract,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
vt_rows,report_or_analysis_identity,virustotal_sample_vendor_engine_verdicts,none available,sample_id,none,none,unavailable,MUTABLE_LATEST_STATE,UNAVAILABLE
vt_rows,updated_at,virustotal_sample_vendor_engine_verdicts,updated_at,sample_id,audit only; never report identity,updated_at,not null,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
engine_metadata,canonical_engine,virustotal_vendor_engines,vendor_key,vendor_key,current metadata snapshot,UNIQUE(vendor_key),not null,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
engine_metadata,active_and_trusted,virustotal_vendor_engines,is_engine_active;is_trusted_vendor,vendor_key,current metadata snapshot,updated_at,NULL not allowed,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
taxonomy_aliases,family_identity,android_malware_family,family_id;family_name;family_slug,family_id,require is_active=1,unique family ID/slug,NULL not allowed for ID/name/slug,MUTABLE_LATEST_STATE,VERIFIED_WITH_LIMITATION
taxonomy_aliases,aliases,android_malware_family_alias or malware_family_alias_fact,alias_name or alias_token,family_id or canonical_family_slug,require active accepted mapping and reject global collisions,no globally unique alias contract,NULL excluded,MUTABLE_LATEST_STATE,AMBIGUOUS
