profile_id,canonical_profile_id,paper_locked,readiness_bucket,sample_count,family_count,type_count,type_slugs,support_floor,permission_observation_requirement,permission_observation_enforced,confidence_bucket_rule,confidence_bucket_enforced,malicious_detection_threshold,suspicious_handling,family_exclusions,family_cap,time_window,cohort_membership_hash,taxonomy_hash,label_snapshot_hash,source_snapshot_or_lock_file,top_families,top_malware_types,source_batch_label_distribution,permission_coverage,confidence_bucket_distribution,top_family_share,live_catalog_match_count,live_catalog_family_count,live_catalog_type_count,broad_catalog_family_count
malicious_temporal_consensus10,malicious_temporal_consensus10,False,android_high_or_strong_vt_with_permission_obs,1596,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,10,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",0faaa4bdba960b52bba7a8dcfd6c6093ec69831b4e2096f19c1bcc8d1f85a1cf,76d18739e32e15d40912d00cd8202d18e204121514c57f69455a54f7938f95d4,76d18739e32e15d40912d00cd8202d18e204121514c57f69455a54f7938f95d4,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 481, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 200, ""Joker"": 83, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 988, ""rat"": 567, ""spyware"": 41}","{""<blank>"": 1115, ""Zimperium IOC"": 481}","{""coverage_pct"": 0.963033, ""rows_total"": 1596, ""rows_with_permission_obs"": 1537}","{""high"": 1115}",0.301378,1596,23,3,142
paper2_sensitivity_consensus10,malicious_temporal_consensus10,False,android_high_or_strong_vt_with_permission_obs,1596,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,10,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",0faaa4bdba960b52bba7a8dcfd6c6093ec69831b4e2096f19c1bcc8d1f85a1cf,76d18739e32e15d40912d00cd8202d18e204121514c57f69455a54f7938f95d4,76d18739e32e15d40912d00cd8202d18e204121514c57f69455a54f7938f95d4,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 481, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 200, ""Joker"": 83, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 988, ""rat"": 567, ""spyware"": 41}","{""<blank>"": 1115, ""Zimperium IOC"": 481}","{""coverage_pct"": 0.963033, ""rows_total"": 1596, ""rows_with_permission_obs"": 1537}","{""high"": 1115}",0.301378,1596,23,3,142
malicious_temporal_family300,malicious_temporal_family300,False,android_high_or_strong_vt_with_permission_obs,1420,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",300.0,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",626dbf8f0690e74a0938ba391376c7117efe2f669f27d3bb22f5b09f022931ad,155ca03e8fbe386f705611ab2bf3ce7af16d778b565aa3b400dee42f73f62996,155ca03e8fbe386f705611ab2bf3ce7af16d778b565aa3b400dee42f73f62996,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 300, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 992, ""rat"": 386, ""spyware"": 42}","{""<blank>"": 1120, ""Zimperium IOC"": 300}","{""coverage_pct"": 0.961972, ""rows_total"": 1420, ""rows_with_permission_obs"": 1366}","{""high"": 1115, ""strong"": 5}",0.211268,1420,23,3,142
paper2_sensitivity_family300,malicious_temporal_family300,False,android_high_or_strong_vt_with_permission_obs,1420,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",300.0,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",626dbf8f0690e74a0938ba391376c7117efe2f669f27d3bb22f5b09f022931ad,155ca03e8fbe386f705611ab2bf3ce7af16d778b565aa3b400dee42f73f62996,155ca03e8fbe386f705611ab2bf3ce7af16d778b565aa3b400dee42f73f62996,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 300, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 992, ""rat"": 386, ""spyware"": 42}","{""<blank>"": 1120, ""Zimperium IOC"": 300}","{""coverage_pct"": 0.961972, ""rows_total"": 1420, ""rows_with_permission_obs"": 1366}","{""high"": 1115, ""strong"": 5}",0.211268,1420,23,3,142
malicious_temporal_stability,malicious_temporal_stability,False,android_high_or_strong_vt_with_permission_obs,1602,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",e007f0ad6c8699b403af6d1461b84e9b034d8ac23e3d52879981c445c3adf7ad,9644d373b1e081b1511134953f04965442501e95d96c42e056fb5f4e6bd74e75,9644d373b1e081b1511134953f04965442501e95d96c42e056fb5f4e6bd74e75,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 482, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 992, ""rat"": 568, ""spyware"": 42}","{""<blank>"": 1120, ""Zimperium IOC"": 482}","{""coverage_pct"": 0.963171, ""rows_total"": 1602, ""rows_with_permission_obs"": 1543}","{""high"": 1115, ""strong"": 5}",0.300874,1602,23,3,142
paper2_primary,malicious_temporal_stability,False,android_high_or_strong_vt_with_permission_obs,1602,23,3,"[""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",e007f0ad6c8699b403af6d1461b84e9b034d8ac23e3d52879981c445c3adf7ad,9644d373b1e081b1511134953f04965442501e95d96c42e056fb5f4e6bd74e75,9644d373b1e081b1511134953f04965442501e95d96c42e056fb5f4e6bd74e75,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 482, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 992, ""rat"": 568, ""spyware"": 42}","{""<blank>"": 1120, ""Zimperium IOC"": 482}","{""coverage_pct"": 0.963171, ""rows_total"": 1602, ""rows_with_permission_obs"": 1543}","{""high"": 1115, ""strong"": 5}",0.300874,1602,23,3,142
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,False,android_high_or_strong_vt_with_permission_obs,1815,38,4,"[""banker"", ""rat"", ""spyware"", ""trojan""]",10,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",d952309c51c7b929e38e78b71c851e881ad377d17e0dd53a00c7defee5b48c4a,1fea2b6a9473b6fa7989cd8607513e6a044e09ccec360cc620947e4d22fea24b,1fea2b6a9473b6fa7989cd8607513e6a044e09ccec360cc620947e4d22fea24b,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 482, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""banker"": 1176, ""rat"": 568, ""spyware"": 55, ""trojan"": 16}","{""<blank>"": 1317, ""Zimperium IOC"": 482, ""external_ioc_fakecop_source_bundle_2026_05_28"": 16}","{""coverage_pct"": 0.962534, ""rows_total"": 1815, ""rows_with_permission_obs"": 1747}","{""high"": 1312, ""strong"": 5}",0.265565,1815,38,4,142
malicious_temporal_stability_locked,malicious_temporal_stability_locked,True,android_high_or_strong_vt_with_permission_obs,1226,39,6,"[""backdoor"", ""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",1af3ccdd43dbca1ee6a547b7714cccdf414a7c5a687de116619b446b75f6debf,381fa8ae2f222e81d3044d3fd633ec60688fe4df064ce85e458574b35b0c73b5,caef83cce5274ad0bbdc55323ff9086cce19674063d5d1ac6992062ec5d0b921,/home/secadmin/Laughlin/GitHub/obsidiandroid/artifacts/baselines/20260504T044304Z__8c64e6/malicious_temporal_stability_locked_sample_ids.csv,"{""Applite"": 159, ""Crocodilus"": 30, ""FluBot"": 38, ""Irata"": 197, ""Joker"": 80, ""Klopatra"": 30, ""PixPirate"": 119, ""SpyNote"": 44, ""TgToxic"": 42, ""TrickMo"": 43}","{""backdoor"": 1, ""banker"": 1075, ""rat"": 64, ""spyware"": 47}","{""<blank>"": 1187}","{""coverage_pct"": 0.969671, ""rows_total"": 1187, ""rows_with_permission_obs"": 1151}","{""high"": 1183, ""strong"": 4}",0.165965,1187,43,4,142
paper2_primary_locked,malicious_temporal_stability_locked,True,android_high_or_strong_vt_with_permission_obs,1226,39,6,"[""backdoor"", ""banker"", ""rat"", ""spyware""]",20,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",1af3ccdd43dbca1ee6a547b7714cccdf414a7c5a687de116619b446b75f6debf,381fa8ae2f222e81d3044d3fd633ec60688fe4df064ce85e458574b35b0c73b5,caef83cce5274ad0bbdc55323ff9086cce19674063d5d1ac6992062ec5d0b921,/home/secadmin/Laughlin/GitHub/obsidiandroid/artifacts/baselines/20260504T044304Z__8c64e6/malicious_temporal_stability_locked_sample_ids.csv,"{""Applite"": 159, ""Crocodilus"": 30, ""FluBot"": 38, ""Irata"": 197, ""Joker"": 80, ""Klopatra"": 30, ""PixPirate"": 119, ""SpyNote"": 44, ""TgToxic"": 42, ""TrickMo"": 43}","{""backdoor"": 1, ""banker"": 1075, ""rat"": 64, ""spyware"": 47}","{""<blank>"": 1187}","{""coverage_pct"": 0.969671, ""rows_total"": 1187, ""rows_with_permission_obs"": 1151}","{""high"": 1183, ""strong"": 4}",0.165965,1187,43,4,142
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,False,android_high_or_strong_vt_with_permission_obs,1954,60,7,"[""adware"", ""banker"", ""dropper"", ""rat"", ""spyware"", ""trojan"", ""worm""]",5,advisory_readiness_bucket,False,advisory_high_or_strong_readiness_bucket,False,1,"{""dataset_filter_mode"": ""malicious_only"", ""exclude_family_label_conflicts"": false, ""exclude_unknown_from_main_results"": true, ""exclude_unknown_type_slug"": true, ""exclude_weak_label_kinds"": false}","[""devixor"", ""gigabud""]",,"{""end_utc"": ""2026-01-01T00:00:00Z"", ""semantics"": ""start_inclusive_end_exclusive"", ""start_utc"": ""2020-01-01T00:00:00Z""}",701a8ebe9d1c6b705310183b426c10e145d37e00ccb3cffe0e9a9442d931af3c,75ba9230a14ababd692795af40d48de445ecb0b4f2a72e3b100ee9840fa41dce,75ba9230a14ababd692795af40d48de445ecb0b4f2a72e3b100ee9840fa41dce,live_loader:malware_sample_catalog,"{""Applite"": 159, ""ArsinkRAT"": 482, ""BankBot"": 32, ""FluBot"": 38, ""Irata"": 201, ""Joker"": 85, ""PixPirate"": 119, ""SpyNote"": 66, ""TgToxic"": 42, ""TrickMo"": 43}","{""adware"": 25, ""banker"": 1252, ""dropper"": 7, ""rat"": 574, ""spyware"": 72, ""trojan"": 16, ""worm"": 8}","{""<blank>"": 1456, ""Zimperium IOC"": 482, ""external_ioc_fakecop_source_bundle_2026_05_28"": 16}","{""coverage_pct"": 0.95957, ""rows_total"": 1954, ""rows_with_permission_obs"": 1875}","{""high"": 1447, ""strong"": 9}",0.246673,1954,60,7,142
