profile_id,canonical_profile_id,exclusion_reason,rows
malicious_temporal_stability_locked,malicious_temporal_stability_locked,not_in_locked_member_list,2080
malicious_temporal_stability_locked,malicious_temporal_stability_locked,outside_time_window,360
malicious_temporal_stability_locked,malicious_temporal_stability_locked,missing_mapped_family,338
malicious_temporal_stability,malicious_temporal_stability,excluded_family,1206
malicious_temporal_stability,malicious_temporal_stability,below_min_samples_per_family,459
malicious_temporal_stability,malicious_temporal_stability,outside_time_window,360
malicious_temporal_stability,malicious_temporal_stability,missing_mapped_family,338
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,excluded_family,1206
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,outside_time_window,360
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,missing_mapped_family,338
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,below_min_samples_per_family,246
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,excluded_family,1206
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,outside_time_window,360
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,missing_mapped_family,338
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,below_min_samples_per_family,107
malicious_temporal_consensus10,malicious_temporal_consensus10,excluded_family,1206
malicious_temporal_consensus10,malicious_temporal_consensus10,below_min_samples_per_family,459
malicious_temporal_consensus10,malicious_temporal_consensus10,outside_time_window,360
malicious_temporal_consensus10,malicious_temporal_consensus10,missing_mapped_family,338
malicious_temporal_consensus10,malicious_temporal_consensus10,min_malicious_detections,6
malicious_temporal_family300,malicious_temporal_family300,excluded_family,1206
malicious_temporal_family300,malicious_temporal_family300,below_min_samples_per_family,459
malicious_temporal_family300,malicious_temporal_family300,outside_time_window,360
malicious_temporal_family300,malicious_temporal_family300,missing_mapped_family,338
malicious_temporal_family300,malicious_temporal_family300,family_cap,182
paper2_primary,malicious_temporal_stability,excluded_family,1206
paper2_primary,malicious_temporal_stability,below_min_samples_per_family,459
paper2_primary,malicious_temporal_stability,outside_time_window,360
paper2_primary,malicious_temporal_stability,missing_mapped_family,338
paper2_primary_locked,malicious_temporal_stability_locked,not_in_locked_member_list,2080
paper2_primary_locked,malicious_temporal_stability_locked,outside_time_window,360
paper2_primary_locked,malicious_temporal_stability_locked,missing_mapped_family,338
paper2_sensitivity_consensus10,malicious_temporal_consensus10,excluded_family,1206
paper2_sensitivity_consensus10,malicious_temporal_consensus10,below_min_samples_per_family,459
paper2_sensitivity_consensus10,malicious_temporal_consensus10,outside_time_window,360
paper2_sensitivity_consensus10,malicious_temporal_consensus10,missing_mapped_family,338
paper2_sensitivity_consensus10,malicious_temporal_consensus10,min_malicious_detections,6
paper2_sensitivity_family300,malicious_temporal_family300,excluded_family,1206
paper2_sensitivity_family300,malicious_temporal_family300,below_min_samples_per_family,459
paper2_sensitivity_family300,malicious_temporal_family300,outside_time_window,360
paper2_sensitivity_family300,malicious_temporal_family300,missing_mapped_family,338
paper2_sensitivity_family300,malicious_temporal_family300,family_cap,182
