profile_id,canonical_profile_id,family_canonical,rows
malicious_temporal_stability,malicious_temporal_stability,ArsinkRAT,482
malicious_temporal_stability,malicious_temporal_stability,Copybara,31
malicious_temporal_stability,malicious_temporal_stability,FatBoyPanel,25
malicious_temporal_stability,malicious_temporal_stability,SpyNote,22
malicious_temporal_stability,malicious_temporal_stability,BankBot,14
malicious_temporal_stability,malicious_temporal_stability,Cerberus,6
malicious_temporal_stability,malicious_temporal_stability,Joker,5
malicious_temporal_stability,malicious_temporal_stability,SpyLoan,5
malicious_temporal_stability,malicious_temporal_stability,Irata,4
malicious_temporal_stability,malicious_temporal_stability,Alien,2
malicious_temporal_stability,malicious_temporal_stability,DoNot,2
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,ArsinkRAT,482
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Copybara,31
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,FatBoyPanel,25
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,SpyNote,22
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,FakeCall,16
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,FakeCop,16
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,RewardSteal,15
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,BankBot,14
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Cerberus,6
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Joker,5
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,SpyLoan,5
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Irata,4
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Octo,3
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Alien,2
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Anubis,2
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,DoNot,2
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,TeaBot,2
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Coper,1
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,SOVA,1
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,TangleBot,1
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,Wroba,1
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,ArsinkRAT,482
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Copybara,31
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,FatBoyPanel,25
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,SpyNote,22
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,FakeCall,16
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,FakeCop,16
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,RewardSteal,15
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,BankBot,14
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,BlankBot,9
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,SMSWorm,8
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,BRATA,7
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Clast82,7
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Hiddad,7
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,HiddenAd,7
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,RatOn,7
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Bahamut,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Cerberus,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Frogblight,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Ghimob,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Rafel,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,SpyC23,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Terracotta,6
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,BrazKing,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Brokewell,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,FaceStealer,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Joker,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Medusa,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Scylla,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,SpyLoan,5
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Irata,4
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Piom,4
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Octo,3
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Alien,2
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Anubis,2
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,DoNot,2
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,TeaBot,2
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Coper,1
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,SOVA,1
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,TangleBot,1
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,Wroba,1
malicious_temporal_consensus10,malicious_temporal_consensus10,ArsinkRAT,481
malicious_temporal_consensus10,malicious_temporal_consensus10,Copybara,31
malicious_temporal_consensus10,malicious_temporal_consensus10,FatBoyPanel,25
