profile_id,canonical_profile_id,type_slug,rows
malicious_temporal_stability,malicious_temporal_stability,rat,504
malicious_temporal_stability,malicious_temporal_stability,banker,87
malicious_temporal_stability,malicious_temporal_stability,spyware,7
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,rat,504
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,banker,128
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,trojan,16
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,spyware,8
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,rat,510
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,banker,182
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,adware,25
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,spyware,25
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,trojan,16
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,worm,8
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,dropper,7
malicious_temporal_consensus10,malicious_temporal_consensus10,rat,503
malicious_temporal_consensus10,malicious_temporal_consensus10,banker,86
malicious_temporal_consensus10,malicious_temporal_consensus10,spyware,7
malicious_temporal_family300,malicious_temporal_family300,rat,322
malicious_temporal_family300,malicious_temporal_family300,banker,87
malicious_temporal_family300,malicious_temporal_family300,spyware,7
paper2_primary,malicious_temporal_stability,rat,504
paper2_primary,malicious_temporal_stability,banker,87
paper2_primary,malicious_temporal_stability,spyware,7
paper2_sensitivity_consensus10,malicious_temporal_consensus10,rat,503
paper2_sensitivity_consensus10,malicious_temporal_consensus10,banker,86
paper2_sensitivity_consensus10,malicious_temporal_consensus10,spyware,7
paper2_sensitivity_family300,malicious_temporal_family300,rat,322
paper2_sensitivity_family300,malicious_temporal_family300,banker,87
paper2_sensitivity_family300,malicious_temporal_family300,spyware,7
malicious_temporal_stability,malicious_temporal_stability,rat,504
malicious_temporal_stability,malicious_temporal_stability,banker,87
malicious_temporal_stability,malicious_temporal_stability,spyware,7
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,rat,504
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,banker,128
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,trojan,16
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,spyware,8
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,rat,510
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,banker,182
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,adware,25
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,spyware,25
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,trojan,16
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,worm,8
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,dropper,7
malicious_temporal_consensus10,malicious_temporal_consensus10,rat,503
malicious_temporal_consensus10,malicious_temporal_consensus10,banker,86
malicious_temporal_consensus10,malicious_temporal_consensus10,spyware,7
malicious_temporal_family300,malicious_temporal_family300,rat,322
malicious_temporal_family300,malicious_temporal_family300,banker,87
malicious_temporal_family300,malicious_temporal_family300,spyware,7
paper2_primary,malicious_temporal_stability,rat,504
paper2_primary,malicious_temporal_stability,banker,87
paper2_primary,malicious_temporal_stability,spyware,7
paper2_sensitivity_consensus10,malicious_temporal_consensus10,rat,503
paper2_sensitivity_consensus10,malicious_temporal_consensus10,banker,86
paper2_sensitivity_consensus10,malicious_temporal_consensus10,spyware,7
paper2_sensitivity_family300,malicious_temporal_family300,rat,322
paper2_sensitivity_family300,malicious_temporal_family300,banker,87
paper2_sensitivity_family300,malicious_temporal_family300,spyware,7
