profile_id,canonical_profile_id,distribution_scope,source_batch_label,rows,share
malicious_temporal_stability_locked,malicious_temporal_stability_locked,cohort_membership,<blank>,1187,1.0
malicious_temporal_stability,malicious_temporal_stability,expansion_candidates_missing_from_lock,Zimperium IOC,482,0.8060200668896321
malicious_temporal_stability,malicious_temporal_stability,expansion_candidates_missing_from_lock,<blank>,116,0.1939799331103679
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,expansion_candidates_missing_from_lock,Zimperium IOC,482,0.7347560975609756
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,expansion_candidates_missing_from_lock,<blank>,158,0.24085365853658536
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,expansion_candidates_missing_from_lock,external_ioc_fakecop_source_bundle_2026_05_28,16,0.024390243902439025
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,expansion_candidates_missing_from_lock,Zimperium IOC,482,0.6235446313065977
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,expansion_candidates_missing_from_lock,<blank>,275,0.35575679172056923
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,expansion_candidates_missing_from_lock,external_ioc_fakecop_source_bundle_2026_05_28,16,0.02069857697283312
malicious_temporal_consensus10,malicious_temporal_consensus10,expansion_candidates_missing_from_lock,Zimperium IOC,481,0.8070469798657718
malicious_temporal_consensus10,malicious_temporal_consensus10,expansion_candidates_missing_from_lock,<blank>,115,0.1929530201342282
malicious_temporal_family300,malicious_temporal_family300,expansion_candidates_missing_from_lock,Zimperium IOC,300,0.7211538461538461
malicious_temporal_family300,malicious_temporal_family300,expansion_candidates_missing_from_lock,<blank>,116,0.27884615384615385
paper2_primary,malicious_temporal_stability,expansion_candidates_missing_from_lock,Zimperium IOC,482,0.8060200668896321
paper2_primary,malicious_temporal_stability,expansion_candidates_missing_from_lock,<blank>,116,0.1939799331103679
paper2_sensitivity_consensus10,malicious_temporal_consensus10,expansion_candidates_missing_from_lock,Zimperium IOC,481,0.8070469798657718
paper2_sensitivity_consensus10,malicious_temporal_consensus10,expansion_candidates_missing_from_lock,<blank>,115,0.1929530201342282
paper2_sensitivity_family300,malicious_temporal_family300,expansion_candidates_missing_from_lock,Zimperium IOC,300,0.7211538461538461
paper2_sensitivity_family300,malicious_temporal_family300,expansion_candidates_missing_from_lock,<blank>,116,0.27884615384615385
malicious_temporal_stability,malicious_temporal_stability,cohort_membership,<blank>,1120,0.6991260923845194
malicious_temporal_stability,malicious_temporal_stability,cohort_membership,Zimperium IOC,482,0.30087390761548066
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,cohort_membership,<blank>,1317,0.7256198347107438
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,cohort_membership,Zimperium IOC,482,0.265564738292011
malicious_temporal_stability_expanded,malicious_temporal_stability_expanded,cohort_membership,external_ioc_fakecop_source_bundle_2026_05_28,16,0.008815426997245178
malicious_temporal_stability_long_tail,malicious_temporal_stability_long_tail,cohort_membership,<blank>,1456,0.7451381780962129
